"year","variable","experiment","ensemble","model","units","value"
1980,"rh","historical","r26i1p1f1","IPSL-CM6A-LR","g yr-1",43025151713908328
1980,"rh","historical","r26i1p1f1","NorCPM1","g yr-1",29376467645285688
1980,"rh","historical","r26i1p1f2","CNRM-CM6-1","g yr-1",47220646001395584
1980,"rh","historical","r27i1p1f1","IPSL-CM6A-LR","g yr-1",42249492918700672
1980,"rh","historical","r27i1p1f1","NorCPM1","g yr-1",28882104308176264
1980,"rh","historical","r27i1p1f2","CNRM-CM6-1","g yr-1",46215704958648088
1980,"rh","historical","r28i1p1f1","IPSL-CM6A-LR","g yr-1",42556356714909304
1980,"rh","historical","r28i1p1f1","NorCPM1","g yr-1",30696753220311084
1980,"rh","historical","r28i1p1f2","CNRM-CM6-1","g yr-1",47769627579797096
1980,"rh","historical","r29i1p1f1","IPSL-CM6A-LR","g yr-1",42503938437623568
1980,"rh","historical","r29i1p1f1","NorCPM1","g yr-1",30086584704513156
1980,"rh","historical","r29i1p1f2","CNRM-CM6-1","g yr-1",48082801109979192
1980,"rh","historical","r2i1p1f1","ACCESS-ESM1-5","g yr-1",56639349864866416
1980,"rh","historical","r2i1p1f1","CESM2","g yr-1",38111380318203376
1980,"rh","historical","r2i1p1f1","CESM2-WACCM","g yr-1",38731598142390632
1980,"rh","historical","r2i1p1f1","IPSL-CM6A-LR","g yr-1",43473914152493600
1980,"rh","historical","r2i1p1f1","MPI-ESM-1-2-HAM","g yr-1",63519226851561264
1980,"rh","historical","r2i1p1f1","MPI-ESM1-2-LR","g yr-1",61548931684115928
1980,"rh","historical","r2i1p1f1","NorCPM1","g yr-1",29867483054767776
1980,"rh","historical","r2i1p1f1","NorESM2-LM","g yr-1",37169547163614592
1980,"rh","historical","r2i1p1f2","CNRM-CM6-1","g yr-1",46876013041840080
1980,"rh","historical","r2i1p1f2","CNRM-ESM2-1","g yr-1",40785436084778648
1980,"rh","historical","r30i1p1f1","IPSL-CM6A-LR","g yr-1",42495465710159952
