units,year,variable,model,experiment,ensemble,global_value
kg/yr,1998,rh,CESM2,historical,r10i1p1f1,1.36759E+14
kg/yr,1999,rh,CESM2,historical,r10i1p1f1,4.89806E+14
kg/yr,2000,rh,CESM2,historical,r10i1p1f1,4.91903E+14
kg/yr,2001,rh,CESM2,historical,r10i1p1f1,4.9726E+14
kg/yr,2002,rh,CESM2,historical,r10i1p1f1,4.94703E+14
kg/yr,2003,rh,CESM2,historical,r10i1p1f1,4.92943E+14
kg/yr,2004,rh,CESM2,historical,r10i1p1f1,4.93534E+14
kg/yr,2005,rh,CESM2,historical,r10i1p1f1,5.01062E+14
kg/yr,2006,rh,CESM2,historical,r10i1p1f1,4.99573E+14
kg/yr,2007,rh,CESM2,historical,r10i1p1f1,5.05076E+14
kg/yr,2008,rh,CESM2,historical,r10i1p1f1,4.95641E+14
kg/yr,2009,rh,CESM2,historical,r10i1p1f1,4.99104E+14
kg/yr,2010,rh,CESM2,historical,r10i1p1f1,5.14647E+14
kg/yr,2011,rh,CESM2,historical,r10i1p1f1,5.01059E+14
kg/yr,2012,rh,CESM2,historical,r10i1p1f1,5.09577E+14
kg/yr,2013,rh,CESM2,historical,r10i1p1f1,3.65983E+14
kg/yr,1848,rh,CESM2,historical,r1i1p1f1,8.57427E+13
kg/yr,1849,rh,CESM2,historical,r1i1p1f1,4.42587E+14
kg/yr,1850,rh,CESM2,historical,r1i1p1f1,4.49016E+14
kg/yr,1851,rh,CESM2,historical,r1i1p1f1,4.4611E+14
kg/yr,1852,rh,CESM2,historical,r1i1p1f1,4.39228E+14
kg/yr,1853,rh,CESM2,historical,r1i1p1f1,4.47139E+14
kg/yr,1854,rh,CESM2,historical,r1i1p1f1,4.47156E+14
kg/yr,1855,rh,CESM2,historical,r1i1p1f1,4.43663E+14
kg/yr,1856,rh,CESM2,historical,r1i1p1f1,4.43354E+14
kg/yr,1857,rh,CESM2,historical,r1i1p1f1,4.43245E+14
kg/yr,1858,rh,CESM2,historical,r1i1p1f1,4.41602E+14
kg/yr,1859,rh,CESM2,historical,r1i1p1f1,4.54494E+14
kg/yr,1860,rh,CESM2,historical,r1i1p1f1,4.40634E+14
kg/yr,1861,rh,CESM2,historical,r1i1p1f1,4.36897E+14
kg/yr,1862,rh,CESM2,historical,r1i1p1f1,4.40538E+14
kg/yr,1863,rh,CESM2,historical,r1i1p1f1,4.40218E+14
kg/yr,1864,rh,CESM2,historical,r1i1p1f1,4.39557E+14
kg/yr,1865,rh,CESM2,historical,r1i1p1f1,4.47799E+14
kg/yr,1866,rh,CESM2,historical,r1i1p1f1,4.42191E+14
kg/yr,1867,rh,CESM2,historical,r1i1p1f1,4.39861E+14
kg/yr,1868,rh,CESM2,historical,r1i1p1f1,4.36233E+14
kg/yr,1869,rh,CESM2,historical,r1i1p1f1,4.48918E+14
kg/yr,1870,rh,CESM2,historical,r1i1p1f1,4.41279E+14
kg/yr,1871,rh,CESM2,historical,r1i1p1f1,4.40614E+14
kg/yr,1872,rh,CESM2,historical,r1i1p1f1,4.54406E+14
kg/yr,1873,rh,CESM2,historical,r1i1p1f1,4.46691E+14
kg/yr,1874,rh,CESM2,historical,r1i1p1f1,4.44561E+14
kg/yr,1875,rh,CESM2,historical,r1i1p1f1,4.45367E+14
kg/yr,1876,rh,CESM2,historical,r1i1p1f1,4.50408E+14
kg/yr,1877,rh,CESM2,historical,r1i1p1f1,4.56729E+14
kg/yr,1878,rh,CESM2,historical,r1i1p1f1,4.44429E+14
kg/yr,1879,rh,CESM2,historical,r1i1p1f1,4.39121E+14
kg/yr,1880,rh,CESM2,historical,r1i1p1f1,4.50318E+14
kg/yr,1881,rh,CESM2,historical,r1i1p1f1,4.40871E+14
kg/yr,1882,rh,CESM2,historical,r1i1p1f1,4.3852E+14
kg/yr,1883,rh,CESM2,historical,r1i1p1f1,4.39703E+14
kg/yr,1884,rh,CESM2,historical,r1i1p1f1,4.48907E+14
kg/yr,1885,rh,CESM2,historical,r1i1p1f1,4.4525E+14
kg/yr,1886,rh,CESM2,historical,r1i1p1f1,4.41937E+14
kg/yr,1887,rh,CESM2,historical,r1i1p1f1,4.45785E+14
kg/yr,1888,rh,CESM2,historical,r1i1p1f1,4.48881E+14
kg/yr,1889,rh,CESM2,historical,r1i1p1f1,4.42545E+14
kg/yr,1890,rh,CESM2,historical,r1i1p1f1,4.44723E+14
kg/yr,1891,rh,CESM2,historical,r1i1p1f1,4.44466E+14
kg/yr,1892,rh,CESM2,historical,r1i1p1f1,4.49389E+14
kg/yr,1893,rh,CESM2,historical,r1i1p1f1,4.44657E+14
kg/yr,1894,rh,CESM2,historical,r1i1p1f1,4.50193E+14
kg/yr,1895,rh,CESM2,historical,r1i1p1f1,4.46974E+14
kg/yr,1896,rh,CESM2,historical,r1i1p1f1,4.50693E+14
kg/yr,1897,rh,CESM2,historical,r1i1p1f1,4.50072E+14
kg/yr,1898,rh,CESM2,historical,r1i1p1f1,4.51597E+14
kg/yr,1899,rh,CESM2,historical,r1i1p1f1,4.43297E+14
kg/yr,1900,rh,CESM2,historical,r1i1p1f1,4.45178E+14
kg/yr,1901,rh,CESM2,historical,r1i1p1f1,4.44462E+14
kg/yr,1902,rh,CESM2,historical,r1i1p1f1,4.36891E+14
kg/yr,1903,rh,CESM2,historical,r1i1p1f1,4.48511E+14
kg/yr,1904,rh,CESM2,historical,r1i1p1f1,4.50003E+14
kg/yr,1905,rh,CESM2,historical,r1i1p1f1,4.4436E+14
kg/yr,1906,rh,CESM2,historical,r1i1p1f1,4.38111E+14
kg/yr,1907,rh,CESM2,historical,r1i1p1f1,4.44348E+14
kg/yr,1908,rh,CESM2,historical,r1i1p1f1,4.48366E+14
kg/yr,1909,rh,CESM2,historical,r1i1p1f1,4.35838E+14
kg/yr,1910,rh,CESM2,historical,r1i1p1f1,4.55096E+14
kg/yr,1911,rh,CESM2,historical,r1i1p1f1,4.48645E+14
kg/yr,1912,rh,CESM2,historical,r1i1p1f1,4.47961E+14
kg/yr,1913,rh,CESM2,historical,r1i1p1f1,4.50377E+14
kg/yr,1914,rh,CESM2,historical,r1i1p1f1,4.49526E+14
kg/yr,1915,rh,CESM2,historical,r1i1p1f1,4.45407E+14
kg/yr,1916,rh,CESM2,historical,r1i1p1f1,4.48699E+14
kg/yr,1917,rh,CESM2,historical,r1i1p1f1,4.44052E+14
kg/yr,1918,rh,CESM2,historical,r1i1p1f1,4.42142E+14
kg/yr,1919,rh,CESM2,historical,r1i1p1f1,4.50489E+14
kg/yr,1920,rh,CESM2,historical,r1i1p1f1,4.4411E+14
kg/yr,1921,rh,CESM2,historical,r1i1p1f1,4.48151E+14
kg/yr,1922,rh,CESM2,historical,r1i1p1f1,4.51338E+14
kg/yr,1923,rh,CESM2,historical,r1i1p1f1,4.48013E+14
kg/yr,1924,rh,CESM2,historical,r1i1p1f1,4.53895E+14
kg/yr,1925,rh,CESM2,historical,r1i1p1f1,4.5358E+14
kg/yr,1926,rh,CESM2,historical,r1i1p1f1,4.50967E+14
kg/yr,1927,rh,CESM2,historical,r1i1p1f1,4.43782E+14
kg/yr,1928,rh,CESM2,historical,r1i1p1f1,4.54066E+14
kg/yr,1929,rh,CESM2,historical,r1i1p1f1,4.5656E+14
kg/yr,1930,rh,CESM2,historical,r1i1p1f1,4.55647E+14
kg/yr,1931,rh,CESM2,historical,r1i1p1f1,4.56088E+14
kg/yr,1932,rh,CESM2,historical,r1i1p1f1,4.53152E+14
kg/yr,1933,rh,CESM2,historical,r1i1p1f1,4.53228E+14
kg/yr,1934,rh,CESM2,historical,r1i1p1f1,4.50662E+14
kg/yr,1935,rh,CESM2,historical,r1i1p1f1,4.46809E+14
kg/yr,1936,rh,CESM2,historical,r1i1p1f1,4.48073E+14
kg/yr,1937,rh,CESM2,historical,r1i1p1f1,4.60125E+14
kg/yr,1938,rh,CESM2,historical,r1i1p1f1,4.52835E+14
kg/yr,1939,rh,CESM2,historical,r1i1p1f1,4.53387E+14
kg/yr,1940,rh,CESM2,historical,r1i1p1f1,4.92347E+14
kg/yr,1941,rh,CESM2,historical,r1i1p1f1,4.48249E+14
kg/yr,1942,rh,CESM2,historical,r1i1p1f1,4.51396E+14
kg/yr,1943,rh,CESM2,historical,r1i1p1f1,4.51528E+14
kg/yr,1944,rh,CESM2,historical,r1i1p1f1,4.47808E+14
kg/yr,1945,rh,CESM2,historical,r1i1p1f1,4.59028E+14
kg/yr,1946,rh,CESM2,historical,r1i1p1f1,4.5029E+14
kg/yr,1947,rh,CESM2,historical,r1i1p1f1,4.52967E+14
kg/yr,1948,rh,CESM2,historical,r1i1p1f1,4.47759E+14
kg/yr,1949,rh,CESM2,historical,r1i1p1f1,4.54555E+14
kg/yr,1950,rh,CESM2,historical,r1i1p1f1,4.46968E+14
kg/yr,1951,rh,CESM2,historical,r1i1p1f1,4.46742E+14
kg/yr,1952,rh,CESM2,historical,r1i1p1f1,4.47006E+14
kg/yr,1953,rh,CESM2,historical,r1i1p1f1,4.52996E+14
kg/yr,1954,rh,CESM2,historical,r1i1p1f1,4.39165E+14
kg/yr,1955,rh,CESM2,historical,r1i1p1f1,4.40806E+14
kg/yr,1956,rh,CESM2,historical,r1i1p1f1,4.45666E+14
kg/yr,1957,rh,CESM2,historical,r1i1p1f1,4.49072E+14
kg/yr,1958,rh,CESM2,historical,r1i1p1f1,4.52229E+14
kg/yr,1959,rh,CESM2,historical,r1i1p1f1,4.44478E+14
kg/yr,1960,rh,CESM2,historical,r1i1p1f1,4.42685E+14
kg/yr,1961,rh,CESM2,historical,r1i1p1f1,4.56458E+14
kg/yr,1962,rh,CESM2,historical,r1i1p1f1,4.4718E+14
kg/yr,1963,rh,CESM2,historical,r1i1p1f1,4.44612E+14
kg/yr,1964,rh,CESM2,historical,r1i1p1f1,4.46416E+14
kg/yr,1965,rh,CESM2,historical,r1i1p1f1,4.46713E+14
kg/yr,1966,rh,CESM2,historical,r1i1p1f1,4.46794E+14
kg/yr,1967,rh,CESM2,historical,r1i1p1f1,4.62523E+14
kg/yr,1968,rh,CESM2,historical,r1i1p1f1,4.59216E+14
kg/yr,1969,rh,CESM2,historical,r1i1p1f1,4.58026E+14
kg/yr,1970,rh,CESM2,historical,r1i1p1f1,4.58733E+14
kg/yr,1971,rh,CESM2,historical,r1i1p1f1,4.64048E+14
kg/yr,1972,rh,CESM2,historical,r1i1p1f1,4.60913E+14
kg/yr,1973,rh,CESM2,historical,r1i1p1f1,4.60482E+14
kg/yr,1974,rh,CESM2,historical,r1i1p1f1,4.58245E+14
kg/yr,1975,rh,CESM2,historical,r1i1p1f1,4.55152E+14
kg/yr,1976,rh,CESM2,historical,r1i1p1f1,4.66133E+14
kg/yr,1977,rh,CESM2,historical,r1i1p1f1,4.61422E+14
kg/yr,1978,rh,CESM2,historical,r1i1p1f1,4.60835E+14
kg/yr,1979,rh,CESM2,historical,r1i1p1f1,4.66973E+14
kg/yr,1980,rh,CESM2,historical,r1i1p1f1,4.59891E+14
kg/yr,1981,rh,CESM2,historical,r1i1p1f1,4.55148E+14
kg/yr,1982,rh,CESM2,historical,r1i1p1f1,4.65579E+14
kg/yr,1983,rh,CESM2,historical,r1i1p1f1,4.70344E+14
kg/yr,1984,rh,CESM2,historical,r1i1p1f1,4.62304E+14
kg/yr,1985,rh,CESM2,historical,r1i1p1f1,4.65208E+14
kg/yr,1986,rh,CESM2,historical,r1i1p1f1,4.82693E+14
kg/yr,1987,rh,CESM2,historical,r1i1p1f1,4.79556E+14
kg/yr,1988,rh,CESM2,historical,r1i1p1f1,4.75083E+14
kg/yr,1989,rh,CESM2,historical,r1i1p1f1,4.78595E+14
kg/yr,1990,rh,CESM2,historical,r1i1p1f1,4.75908E+14
kg/yr,1991,rh,CESM2,historical,r1i1p1f1,4.73668E+14
kg/yr,1992,rh,CESM2,historical,r1i1p1f1,4.74967E+14
kg/yr,1993,rh,CESM2,historical,r1i1p1f1,4.83904E+14
kg/yr,1994,rh,CESM2,historical,r1i1p1f1,4.8825E+14
kg/yr,1995,rh,CESM2,historical,r1i1p1f1,4.88454E+14
kg/yr,1996,rh,CESM2,historical,r1i1p1f1,4.8812E+14
kg/yr,1997,rh,CESM2,historical,r1i1p1f1,4.89119E+14
kg/yr,1998,rh,CESM2,historical,r1i1p1f1,4.95332E+14
kg/yr,1999,rh,CESM2,historical,r1i1p1f1,4.88266E+14
kg/yr,2000,rh,CESM2,historical,r1i1p1f1,4.87512E+14
kg/yr,2001,rh,CESM2,historical,r1i1p1f1,4.94933E+14
kg/yr,2002,rh,CESM2,historical,r1i1p1f1,4.94148E+14
kg/yr,2003,rh,CESM2,historical,r1i1p1f1,4.98726E+14
kg/yr,2004,rh,CESM2,historical,r1i1p1f1,4.93894E+14
kg/yr,2005,rh,CESM2,historical,r1i1p1f1,4.94445E+14
kg/yr,2006,rh,CESM2,historical,r1i1p1f1,5.02052E+14
kg/yr,2007,rh,CESM2,historical,r1i1p1f1,4.99236E+14
kg/yr,2008,rh,CESM2,historical,r1i1p1f1,4.99907E+14
kg/yr,2009,rh,CESM2,historical,r1i1p1f1,5.08394E+14
kg/yr,2010,rh,CESM2,historical,r1i1p1f1,5.04143E+14
kg/yr,2011,rh,CESM2,historical,r1i1p1f1,5.01425E+14
kg/yr,2012,rh,CESM2,historical,r1i1p1f1,5.06307E+14
kg/yr,2013,rh,CESM2,historical,r1i1p1f1,3.64786E+14
kg/yr,1848,rh,CESM2,historical,r2i1p1f1,8.44652E+13
kg/yr,1849,rh,CESM2,historical,r2i1p1f1,4.4417E+14
kg/yr,1850,rh,CESM2,historical,r2i1p1f1,4.46307E+14
kg/yr,1851,rh,CESM2,historical,r2i1p1f1,4.44287E+14
kg/yr,1852,rh,CESM2,historical,r2i1p1f1,4.42072E+14
kg/yr,1853,rh,CESM2,historical,r2i1p1f1,4.44191E+14
kg/yr,1854,rh,CESM2,historical,r2i1p1f1,4.42578E+14
kg/yr,1855,rh,CESM2,historical,r2i1p1f1,4.4007E+14
kg/yr,1856,rh,CESM2,historical,r2i1p1f1,4.38519E+14
kg/yr,1857,rh,CESM2,historical,r2i1p1f1,4.39516E+14
kg/yr,1858,rh,CESM2,historical,r2i1p1f1,4.42561E+14
kg/yr,1859,rh,CESM2,historical,r2i1p1f1,4.42876E+14
kg/yr,1860,rh,CESM2,historical,r2i1p1f1,4.47826E+14
kg/yr,1861,rh,CESM2,historical,r2i1p1f1,4.3653E+14
kg/yr,1862,rh,CESM2,historical,r2i1p1f1,4.39723E+14
kg/yr,1863,rh,CESM2,historical,r2i1p1f1,4.47186E+14
kg/yr,1864,rh,CESM2,historical,r2i1p1f1,4.37081E+14
kg/yr,1865,rh,CESM2,historical,r2i1p1f1,4.50279E+14
kg/yr,1866,rh,CESM2,historical,r2i1p1f1,4.48347E+14
kg/yr,1867,rh,CESM2,historical,r2i1p1f1,4.42177E+14
kg/yr,1868,rh,CESM2,historical,r2i1p1f1,4.40263E+14
kg/yr,1869,rh,CESM2,historical,r2i1p1f1,4.41318E+14
kg/yr,1870,rh,CESM2,historical,r2i1p1f1,4.45382E+14
kg/yr,1871,rh,CESM2,historical,r2i1p1f1,4.52704E+14
kg/yr,1872,rh,CESM2,historical,r2i1p1f1,4.4395E+14
kg/yr,1873,rh,CESM2,historical,r2i1p1f1,4.56236E+14
kg/yr,1874,rh,CESM2,historical,r2i1p1f1,4.48401E+14
kg/yr,1875,rh,CESM2,historical,r2i1p1f1,4.49728E+14
kg/yr,1876,rh,CESM2,historical,r2i1p1f1,4.47194E+14
kg/yr,1877,rh,CESM2,historical,r2i1p1f1,4.48247E+14
kg/yr,1878,rh,CESM2,historical,r2i1p1f1,4.45301E+14
kg/yr,1879,rh,CESM2,historical,r2i1p1f1,4.449E+14
kg/yr,1880,rh,CESM2,historical,r2i1p1f1,4.40947E+14
kg/yr,1881,rh,CESM2,historical,r2i1p1f1,4.52736E+14
kg/yr,1882,rh,CESM2,historical,r2i1p1f1,4.36771E+14
kg/yr,1883,rh,CESM2,historical,r2i1p1f1,4.34272E+14
kg/yr,1884,rh,CESM2,historical,r2i1p1f1,4.39838E+14
kg/yr,1885,rh,CESM2,historical,r2i1p1f1,4.45836E+14
kg/yr,1886,rh,CESM2,historical,r2i1p1f1,4.45404E+14
kg/yr,1887,rh,CESM2,historical,r2i1p1f1,4.47678E+14
kg/yr,1888,rh,CESM2,historical,r2i1p1f1,4.45461E+14
kg/yr,1889,rh,CESM2,historical,r2i1p1f1,4.43087E+14
kg/yr,1890,rh,CESM2,historical,r2i1p1f1,4.48767E+14
kg/yr,1891,rh,CESM2,historical,r2i1p1f1,4.52803E+14
kg/yr,1892,rh,CESM2,historical,r2i1p1f1,4.50606E+14
kg/yr,1893,rh,CESM2,historical,r2i1p1f1,4.44998E+14
kg/yr,1894,rh,CESM2,historical,r2i1p1f1,4.47145E+14
kg/yr,1895,rh,CESM2,historical,r2i1p1f1,4.44592E+14
kg/yr,1896,rh,CESM2,historical,r2i1p1f1,4.42148E+14
kg/yr,1897,rh,CESM2,historical,r2i1p1f1,4.48119E+14
kg/yr,1898,rh,CESM2,historical,r2i1p1f1,4.47987E+14
kg/yr,1899,rh,CESM2,historical,r2i1p1f1,4.54381E+14
kg/yr,1900,rh,CESM2,historical,r2i1p1f1,4.44691E+14
kg/yr,1901,rh,CESM2,historical,r2i1p1f1,4.47402E+14
kg/yr,1902,rh,CESM2,historical,r2i1p1f1,4.40089E+14
kg/yr,1903,rh,CESM2,historical,r2i1p1f1,4.47454E+14
kg/yr,1904,rh,CESM2,historical,r2i1p1f1,4.46945E+14
kg/yr,1905,rh,CESM2,historical,r2i1p1f1,4.4531E+14
kg/yr,1906,rh,CESM2,historical,r2i1p1f1,4.40064E+14
kg/yr,1907,rh,CESM2,historical,r2i1p1f1,4.46697E+14
kg/yr,1908,rh,CESM2,historical,r2i1p1f1,4.49381E+14
kg/yr,1909,rh,CESM2,historical,r2i1p1f1,4.36036E+14
kg/yr,1910,rh,CESM2,historical,r2i1p1f1,4.54366E+14
kg/yr,1911,rh,CESM2,historical,r2i1p1f1,4.46995E+14
kg/yr,1912,rh,CESM2,historical,r2i1p1f1,4.38575E+14
kg/yr,1913,rh,CESM2,historical,r2i1p1f1,4.49272E+14
kg/yr,1914,rh,CESM2,historical,r2i1p1f1,4.40393E+14
kg/yr,1915,rh,CESM2,historical,r2i1p1f1,4.53711E+14
kg/yr,1916,rh,CESM2,historical,r2i1p1f1,4.43645E+14
kg/yr,1917,rh,CESM2,historical,r2i1p1f1,4.40591E+14
kg/yr,1918,rh,CESM2,historical,r2i1p1f1,4.55755E+14
kg/yr,1919,rh,CESM2,historical,r2i1p1f1,4.49785E+14
kg/yr,1920,rh,CESM2,historical,r2i1p1f1,4.44396E+14
kg/yr,1921,rh,CESM2,historical,r2i1p1f1,4.49142E+14
kg/yr,1922,rh,CESM2,historical,r2i1p1f1,4.56469E+14
kg/yr,1923,rh,CESM2,historical,r2i1p1f1,4.44395E+14
kg/yr,1924,rh,CESM2,historical,r2i1p1f1,4.55757E+14
kg/yr,1925,rh,CESM2,historical,r2i1p1f1,4.55202E+14
kg/yr,1926,rh,CESM2,historical,r2i1p1f1,4.55136E+14
kg/yr,1927,rh,CESM2,historical,r2i1p1f1,4.51091E+14
kg/yr,1928,rh,CESM2,historical,r2i1p1f1,4.51473E+14
kg/yr,1929,rh,CESM2,historical,r2i1p1f1,4.46968E+14
kg/yr,1930,rh,CESM2,historical,r2i1p1f1,4.47181E+14
kg/yr,1931,rh,CESM2,historical,r2i1p1f1,4.56595E+14
kg/yr,1932,rh,CESM2,historical,r2i1p1f1,4.48931E+14
kg/yr,1933,rh,CESM2,historical,r2i1p1f1,4.56129E+14
kg/yr,1934,rh,CESM2,historical,r2i1p1f1,4.51426E+14
kg/yr,1935,rh,CESM2,historical,r2i1p1f1,4.49143E+14
kg/yr,1936,rh,CESM2,historical,r2i1p1f1,4.487E+14
kg/yr,1937,rh,CESM2,historical,r2i1p1f1,4.51119E+14
kg/yr,1938,rh,CESM2,historical,r2i1p1f1,4.53295E+14
kg/yr,1939,rh,CESM2,historical,r2i1p1f1,4.59422E+14
kg/yr,1940,rh,CESM2,historical,r2i1p1f1,4.86225E+14
kg/yr,1941,rh,CESM2,historical,r2i1p1f1,4.50177E+14
kg/yr,1942,rh,CESM2,historical,r2i1p1f1,4.49384E+14
kg/yr,1943,rh,CESM2,historical,r2i1p1f1,4.49523E+14
kg/yr,1944,rh,CESM2,historical,r2i1p1f1,4.49588E+14
kg/yr,1945,rh,CESM2,historical,r2i1p1f1,4.55762E+14
kg/yr,1946,rh,CESM2,historical,r2i1p1f1,4.50776E+14
kg/yr,1947,rh,CESM2,historical,r2i1p1f1,4.59663E+14
kg/yr,1948,rh,CESM2,historical,r2i1p1f1,4.52686E+14
kg/yr,1949,rh,CESM2,historical,r2i1p1f1,4.49043E+14
kg/yr,1950,rh,CESM2,historical,r2i1p1f1,4.51815E+14
kg/yr,1951,rh,CESM2,historical,r2i1p1f1,4.56646E+14
kg/yr,1952,rh,CESM2,historical,r2i1p1f1,4.54972E+14
kg/yr,1953,rh,CESM2,historical,r2i1p1f1,4.40364E+14
kg/yr,1954,rh,CESM2,historical,r2i1p1f1,4.49039E+14
kg/yr,1955,rh,CESM2,historical,r2i1p1f1,4.44079E+14
kg/yr,1956,rh,CESM2,historical,r2i1p1f1,4.49884E+14
kg/yr,1957,rh,CESM2,historical,r2i1p1f1,4.55726E+14
kg/yr,1958,rh,CESM2,historical,r2i1p1f1,4.55593E+14
kg/yr,1959,rh,CESM2,historical,r2i1p1f1,4.56893E+14
kg/yr,1960,rh,CESM2,historical,r2i1p1f1,4.47245E+14
kg/yr,1961,rh,CESM2,historical,r2i1p1f1,4.53961E+14
kg/yr,1962,rh,CESM2,historical,r2i1p1f1,4.49625E+14
kg/yr,1963,rh,CESM2,historical,r2i1p1f1,4.48325E+14
kg/yr,1964,rh,CESM2,historical,r2i1p1f1,4.56288E+14
kg/yr,1965,rh,CESM2,historical,r2i1p1f1,4.56669E+14
kg/yr,1966,rh,CESM2,historical,r2i1p1f1,4.62576E+14
kg/yr,1967,rh,CESM2,historical,r2i1p1f1,4.52411E+14
kg/yr,1968,rh,CESM2,historical,r2i1p1f1,4.58599E+14
kg/yr,1969,rh,CESM2,historical,r2i1p1f1,4.47616E+14
kg/yr,1970,rh,CESM2,historical,r2i1p1f1,4.49709E+14
kg/yr,1971,rh,CESM2,historical,r2i1p1f1,4.6248E+14
kg/yr,1972,rh,CESM2,historical,r2i1p1f1,4.55865E+14
kg/yr,1973,rh,CESM2,historical,r2i1p1f1,4.5895E+14
kg/yr,1974,rh,CESM2,historical,r2i1p1f1,4.61656E+14
kg/yr,1975,rh,CESM2,historical,r2i1p1f1,4.5632E+14
kg/yr,1976,rh,CESM2,historical,r2i1p1f1,4.65509E+14
kg/yr,1977,rh,CESM2,historical,r2i1p1f1,4.67E+14
kg/yr,1978,rh,CESM2,historical,r2i1p1f1,4.72227E+14
kg/yr,1979,rh,CESM2,historical,r2i1p1f1,4.53192E+14
kg/yr,1980,rh,CESM2,historical,r2i1p1f1,4.6475E+14
kg/yr,1981,rh,CESM2,historical,r2i1p1f1,4.68249E+14
kg/yr,1982,rh,CESM2,historical,r2i1p1f1,4.64916E+14
kg/yr,1983,rh,CESM2,historical,r2i1p1f1,4.7304E+14
kg/yr,1984,rh,CESM2,historical,r2i1p1f1,4.71474E+14
kg/yr,1985,rh,CESM2,historical,r2i1p1f1,4.79064E+14
kg/yr,1986,rh,CESM2,historical,r2i1p1f1,4.76542E+14
kg/yr,1987,rh,CESM2,historical,r2i1p1f1,4.69509E+14
kg/yr,1988,rh,CESM2,historical,r2i1p1f1,4.75356E+14
kg/yr,1989,rh,CESM2,historical,r2i1p1f1,4.85641E+14
kg/yr,1990,rh,CESM2,historical,r2i1p1f1,4.69623E+14
kg/yr,1991,rh,CESM2,historical,r2i1p1f1,4.87355E+14
kg/yr,1992,rh,CESM2,historical,r2i1p1f1,4.83816E+14
kg/yr,1993,rh,CESM2,historical,r2i1p1f1,4.79649E+14
kg/yr,1994,rh,CESM2,historical,r2i1p1f1,4.8111E+14
kg/yr,1995,rh,CESM2,historical,r2i1p1f1,4.80916E+14
kg/yr,1996,rh,CESM2,historical,r2i1p1f1,4.89631E+14
kg/yr,1997,rh,CESM2,historical,r2i1p1f1,4.98691E+14
kg/yr,1998,rh,CESM2,historical,r2i1p1f1,4.87626E+14
kg/yr,1999,rh,CESM2,historical,r2i1p1f1,4.88587E+14
kg/yr,2000,rh,CESM2,historical,r2i1p1f1,4.98014E+14
kg/yr,2001,rh,CESM2,historical,r2i1p1f1,5.07116E+14
kg/yr,2002,rh,CESM2,historical,r2i1p1f1,4.95149E+14
kg/yr,2003,rh,CESM2,historical,r2i1p1f1,4.94331E+14
kg/yr,2004,rh,CESM2,historical,r2i1p1f1,4.99563E+14
kg/yr,2005,rh,CESM2,historical,r2i1p1f1,4.95579E+14
kg/yr,2006,rh,CESM2,historical,r2i1p1f1,5.03207E+14
kg/yr,2007,rh,CESM2,historical,r2i1p1f1,5.04999E+14
kg/yr,2008,rh,CESM2,historical,r2i1p1f1,4.97134E+14
kg/yr,2009,rh,CESM2,historical,r2i1p1f1,5.05518E+14
kg/yr,2010,rh,CESM2,historical,r2i1p1f1,5.1262E+14
kg/yr,2011,rh,CESM2,historical,r2i1p1f1,5.06202E+14
kg/yr,2012,rh,CESM2,historical,r2i1p1f1,5.02548E+14
kg/yr,2013,rh,CESM2,historical,r2i1p1f1,3.69129E+14
kg/yr,1848,rh,CESM2,historical,r3i1p1f1,8.68456E+13
kg/yr,1849,rh,CESM2,historical,r3i1p1f1,4.32722E+14
kg/yr,1850,rh,CESM2,historical,r3i1p1f1,4.45157E+14
kg/yr,1851,rh,CESM2,historical,r3i1p1f1,4.44948E+14
kg/yr,1852,rh,CESM2,historical,r3i1p1f1,4.4242E+14
kg/yr,1853,rh,CESM2,historical,r3i1p1f1,4.4048E+14
kg/yr,1854,rh,CESM2,historical,r3i1p1f1,4.44412E+14
kg/yr,1855,rh,CESM2,historical,r3i1p1f1,4.43119E+14
kg/yr,1856,rh,CESM2,historical,r3i1p1f1,4.44458E+14
kg/yr,1857,rh,CESM2,historical,r3i1p1f1,4.51463E+14
kg/yr,1858,rh,CESM2,historical,r3i1p1f1,4.38936E+14
kg/yr,1859,rh,CESM2,historical,r3i1p1f1,4.48002E+14
kg/yr,1860,rh,CESM2,historical,r3i1p1f1,4.40136E+14
kg/yr,1861,rh,CESM2,historical,r3i1p1f1,4.48545E+14
kg/yr,1862,rh,CESM2,historical,r3i1p1f1,4.40906E+14
kg/yr,1863,rh,CESM2,historical,r3i1p1f1,4.40688E+14
kg/yr,1864,rh,CESM2,historical,r3i1p1f1,4.4478E+14
kg/yr,1865,rh,CESM2,historical,r3i1p1f1,4.44791E+14
kg/yr,1866,rh,CESM2,historical,r3i1p1f1,4.45819E+14
kg/yr,1867,rh,CESM2,historical,r3i1p1f1,4.47879E+14
kg/yr,1868,rh,CESM2,historical,r3i1p1f1,4.50094E+14
kg/yr,1869,rh,CESM2,historical,r3i1p1f1,4.38932E+14
kg/yr,1870,rh,CESM2,historical,r3i1p1f1,4.52014E+14
kg/yr,1871,rh,CESM2,historical,r3i1p1f1,4.38513E+14
kg/yr,1872,rh,CESM2,historical,r3i1p1f1,4.51376E+14
kg/yr,1873,rh,CESM2,historical,r3i1p1f1,4.45003E+14
kg/yr,1874,rh,CESM2,historical,r3i1p1f1,4.37787E+14
kg/yr,1875,rh,CESM2,historical,r3i1p1f1,4.421E+14
kg/yr,1876,rh,CESM2,historical,r3i1p1f1,4.46856E+14
