"variable","model","experiment","coords","value","units"
"rh","CESM2","historical",-90,0,"%"
"rh","CESM2","historical",-85,0,"%"
"rh","CESM2","historical",-80,0,"%"
"rh","CESM2","historical",-75,9.68767560839156e-08,"%"
"rh","CESM2","historical",-70,2.75659908886135e-06,"%"
"rh","CESM2","historical",-65,3.07345104061367e-05,"%"
"rh","CESM2","historical",-60,0.00692085688745798,"%"
"rh","CESM2","historical",-55,0.144934112926282,"%"
"rh","CESM2","historical",-50,0.190702763621199,"%"
"rh","CESM2","historical",-45,0.599800051500636,"%"
"rh","CESM2","historical",-40,1.09097635676693,"%"
"rh","CESM2","historical",-35,1.90733952736701,"%"
"rh","CESM2","historical",-30,2.63367172188092,"%"
"rh","CESM2","historical",-25,3.33956544747438,"%"
"rh","CESM2","historical",-20,2.70381535277965,"%"
"rh","CESM2","historical",-15,3.94976813626301,"%"
"rh","CESM2","historical",-10,8.63644982314018,"%"
"rh","CESM2","historical",-5,10.3768297532867,"%"
"rh","CESM2","historical",0,8.77314255185999,"%"
"rh","CESM2","historical",5,6.59867310640297,"%"
"rh","CESM2","historical",10,2.72735443545392,"%"
"rh","CESM2","historical",15,2.53184612993511,"%"
"rh","CESM2","historical",20,3.23439296223377,"%"
"rh","CESM2","historical",25,3.2010046131907,"%"
"rh","CESM2","historical",30,4.65481541441706,"%"
"rh","CESM2","historical",35,4.51818936332096,"%"
"rh","CESM2","historical",40,4.59987008716587,"%"
"rh","CESM2","historical",45,4.3197475170291,"%"
"rh","CESM2","historical",50,5.57320604311756,"%"
"rh","CESM2","historical",55,5.95627386572372,"%"
"rh","CESM2","historical",60,4.23860846423895,"%"
"rh","CESM2","historical",65,3.05145481906967,"%"
"rh","CESM2","historical",70,0.438022860007336,"%"
"rh","CESM2","historical",75,0.00200592677628592,"%"
"rh","CESM2","historical",80,0.000584348176459579,"%"
"rh","CESM2","historical",-90,0,"%"
"rh","CESM2","historical",-85,0,"%"
"rh","CESM2","historical",-80,0,"%"
"rh","CESM2","historical",-75,1.33033337611511e-07,"%"
"rh","CESM2","historical",-70,2.09247277650452e-06,"%"
"rh","CESM2","historical",-65,6.51753692886873e-05,"%"
"rh","CESM2","historical",-60,0.00669066312726697,"%"
"rh","CESM2","historical",-55,0.144678646256419,"%"
"rh","CESM2","historical",-50,0.185639894813974,"%"
"rh","CESM2","historical",-45,0.587464938768592,"%"
"rh","CESM2","historical",-40,1.02946842423555,"%"
"rh","CESM2","historical",-35,1.91430770889647,"%"
"rh","CESM2","historical",-30,2.6492206254411,"%"
"rh","CESM2","historical",-25,3.1845414045196,"%"
"rh","CESM2","historical",-20,2.61519667508222,"%"
"rh","CESM2","historical",-15,3.82955217515224,"%"
"rh","CESM2","historical",-10,8.44431865734806,"%"
"rh","CESM2","historical",-5,10.4616245401055,"%"
"rh","CESM2","historical",0,8.83288431368276,"%"
"rh","CESM2","historical",5,6.75719130976665,"%"
"rh","CESM2","historical",10,2.83816773470822,"%"
"rh","CESM2","historical",15,2.56595567774658,"%"
"rh","CESM2","historical",20,3.25808515965114,"%"
"rh","CESM2","historical",25,3.19958788960071,"%"
"rh","CESM2","historical",30,4.66597039334454,"%"
"rh","CESM2","historical",35,4.59010074004288,"%"
"rh","CESM2","historical",40,4.71121461109078,"%"
"rh","CESM2","historical",45,4.41489413510734,"%"
"rh","CESM2","historical",50,5.5961506111179,"%"
"rh","CESM2","historical",55,5.8858330553679,"%"
"rh","CESM2","historical",60,4.22158105943341,"%"
"rh","CESM2","historical",65,3.00430133437823,"%"
"rh","CESM2","historical",70,0.402514411035148,"%"
"rh","CESM2","historical",75,0.00227870920852978,"%"
"rh","CESM2","historical",80,0.000517100094852846,"%"
"rh","CESM2","historical",-90,0,"%"
"rh","CESM2","historical",-85,0,"%"
"rh","CESM2","historical",-80,0,"%"
"rh","CESM2","historical",-75,3.71967463863276e-07,"%"
"rh","CESM2","historical",-70,2.72548525956617e-06,"%"
"rh","CESM2","historical",-65,7.04004325639075e-05,"%"
"rh","CESM2","historical",-60,0.00689271607785019,"%"
"rh","CESM2","historical",-55,0.145802346024499,"%"
"rh","CESM2","historical",-50,0.186090164870483,"%"
"rh","CESM2","historical",-45,0.613568946682518,"%"
"rh","CESM2","historical",-40,1.0856784837981,"%"
"rh","CESM2","historical",-35,1.977517761183,"%"
"rh","CESM2","historical",-30,2.60601868937929,"%"
"rh","CESM2","historical",-25,3.17611794431527,"%"
"rh","CESM2","historical",-20,2.58365996461199,"%"
"rh","CESM2","historical",-15,3.81124269573523,"%"
"rh","CESM2","historical",-10,8.42662414741321,"%"
"rh","CESM2","historical",-5,10.3201480767347,"%"
"rh","CESM2","historical",0,8.87303635590677,"%"
"rh","CESM2","historical",5,6.79109453891925,"%"
"rh","CESM2","historical",10,2.81192908034162,"%"
"rh","CESM2","historical",15,2.55696393706659,"%"
"rh","CESM2","historical",20,3.29165988851893,"%"
"rh","CESM2","historical",25,3.22681543520057,"%"
"rh","CESM2","historical",30,4.65371992202548,"%"
"rh","CESM2","historical",35,4.59796466052674,"%"
"rh","CESM2","historical",40,4.75931359885333,"%"
"rh","CESM2","historical",45,4.58565879984243,"%"
"rh","CESM2","historical",50,5.70349285077025,"%"
"rh","CESM2","historical",55,5.75527682326695,"%"
"rh","CESM2","historical",60,4.14758484341072,"%"
"rh","CESM2","historical",65,2.90792881178823,"%"
"rh","CESM2","historical",70,0.394862805805596,"%"
"rh","CESM2","historical",75,0.00269377930442782,"%"
"rh","CESM2","historical",80,0.000568433740727329,"%"
"rh","CESM2","historical",-90,0,"%"
"rh","CESM2","historical",-85,0,"%"
"rh","CESM2","historical",-80,0,"%"
"rh","CESM2","historical",-75,0,"%"
